,datapoint,template,row,column,dtype,label
101,"S.01.03.01.01,c0040",S.01.03.01.01,,c0040,object,"Y-axis (FN): Fund/Matching portfolio Number , Y-axis (FN): Fund /Portfolio Number"
102,"S.01.03.01.02,c0120",S.01.03.01.02,,c0120,object,"Fund/Matching portfolio Number|Sub Fund/Portfolio Number , Sub RFF/MAP"
103,"S.01.03.01.02,c0100",S.01.03.01.02,,c0100,object,"Y-axis (FN): Fund/Matching portfolio Number|Sub Fund/Portfolio Number , Y-axis (FN): Number of RFF/MAP with sub RFF/MAP"
104,"S.01.03.01.02,c0110",S.01.03.01.02,,c0110,object,"Y-axis (SN): Fund/Matching portfolio Number|Sub Fund/Portfolio Number , Y-axis (SN): Number of sub RFF/MAP"
105,"S.02.01.01.01,r0030,c0010",S.02.01.01.01,r0030,c0010,int64,"Assets|Intangible assets , Solvency II value"
106,"S.02.01.01.01,r0040,c0010",S.02.01.01.01,r0040,c0010,int64,"Assets|Deferred tax assets , Solvency II value"
107,"S.02.01.01.01,r0050,c0010",S.02.01.01.01,r0050,c0010,int64,"Assets|Pension benefit surplus , Solvency II value"
108,"S.02.01.01.01,r0060,c0010",S.02.01.01.01,r0060,c0010,float64,"Assets|Property, plant & equipment held for own use , Solvency II value"
109,"S.02.01.01.01,r0070,c0010",S.02.01.01.01,r0070,c0010,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts) , Solvency II value"
110,"S.02.01.01.01,r0080,c0010",S.02.01.01.01,r0080,c0010,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Property (other than for own use) , Solvency II value"
111,"S.02.01.01.01,r0090,c0010",S.02.01.01.01,r0090,c0010,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Holdings in related undertakings, including participations , Solvency II value"
112,"S.02.01.01.01,r0100,c0010",S.02.01.01.01,r0100,c0010,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Equities , Solvency II value"
113,"S.02.01.01.01,r0110,c0010",S.02.01.01.01,r0110,c0010,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Equities|Equities - listed , Solvency II value"
114,"S.02.01.01.01,r0120,c0010",S.02.01.01.01,r0120,c0010,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Equities|Equities - unlisted , Solvency II value"
115,"S.02.01.01.01,r0130,c0010",S.02.01.01.01,r0130,c0010,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds , Solvency II value"
116,"S.02.01.01.01,r0140,c0010",S.02.01.01.01,r0140,c0010,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds|Government Bonds , Solvency II value"
117,"S.02.01.01.01,r0150,c0010",S.02.01.01.01,r0150,c0010,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds|Corporate Bonds , Solvency II value"
118,"S.02.01.01.01,r0160,c0010",S.02.01.01.01,r0160,c0010,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds|Structured notes , Solvency II value"
119,"S.02.01.01.01,r0170,c0010",S.02.01.01.01,r0170,c0010,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds|Collateralised securities , Solvency II value"
120,"S.02.01.01.01,r0180,c0010",S.02.01.01.01,r0180,c0010,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Collective Investments Undertakings , Solvency II value"
121,"S.02.01.01.01,r0190,c0010",S.02.01.01.01,r0190,c0010,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Derivatives , Solvency II value"
122,"S.02.01.01.01,r0200,c0010",S.02.01.01.01,r0200,c0010,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Deposits other than cash equivalents , Solvency II value"
123,"S.02.01.01.01,r0210,c0010",S.02.01.01.01,r0210,c0010,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Other investments , Solvency II value"
124,"S.02.01.01.01,r0220,c0010",S.02.01.01.01,r0220,c0010,int64,"Assets|Assets held for index-linked and unit-linked contracts , Solvency II value"
125,"S.02.01.01.01,r0230,c0010",S.02.01.01.01,r0230,c0010,float64,"Assets|Loans and mortgages , Solvency II value"
126,"S.02.01.01.01,r0240,c0010",S.02.01.01.01,r0240,c0010,int64,"Assets|Loans and mortgages|Loans on policies , Solvency II value"
127,"S.02.01.01.01,r0250,c0010",S.02.01.01.01,r0250,c0010,int64,"Assets|Loans and mortgages|Loans and mortgages to individuals , Solvency II value"
128,"S.02.01.01.01,r0260,c0010",S.02.01.01.01,r0260,c0010,float64,"Assets|Loans and mortgages|Other loans and mortgages , Solvency II value"
129,"S.02.01.01.01,r0270,c0010",S.02.01.01.01,r0270,c0010,float64,"Assets|Reinsurance recoverables from: , Solvency II value"
130,"S.02.01.01.01,r0280,c0010",S.02.01.01.01,r0280,c0010,float64,"Assets|Reinsurance recoverables from:|Non-life and health similar to non-life , Solvency II value"
131,"S.02.01.01.01,r0290,c0010",S.02.01.01.01,r0290,c0010,float64,"Assets|Reinsurance recoverables from:|Non-life and health similar to non-life|Non-life excluding health , Solvency II value"
132,"S.02.01.01.01,r0300,c0010",S.02.01.01.01,r0300,c0010,int64,"Assets|Reinsurance recoverables from:|Non-life and health similar to non-life|Health similar to non-life , Solvency II value"
133,"S.02.01.01.01,r0310,c0010",S.02.01.01.01,r0310,c0010,int64,"Assets|Reinsurance recoverables from:|Life and health similar to life, excluding health and index-linked and unit-linked , Solvency II value"
134,"S.02.01.01.01,r0320,c0010",S.02.01.01.01,r0320,c0010,int64,"Assets|Reinsurance recoverables from:|Life and health similar to life, excluding health and index-linked and unit-linked|Health similar to life , Solvency II value"
135,"S.02.01.01.01,r0330,c0010",S.02.01.01.01,r0330,c0010,int64,"Assets|Reinsurance recoverables from:|Life and health similar to life, excluding health and index-linked and unit-linked|Life excluding health and index-linked and unit-linked , Solvency II value"
136,"S.02.01.01.01,r0340,c0010",S.02.01.01.01,r0340,c0010,int64,"Assets|Reinsurance recoverables from:|Life index-linked and unit-linked , Solvency II value"
137,"S.02.01.01.01,r0350,c0010",S.02.01.01.01,r0350,c0010,int64,"Assets|Deposits to cedants , Solvency II value"
138,"S.02.01.01.01,r0360,c0010",S.02.01.01.01,r0360,c0010,float64,"Assets|Insurance and intermediaries receivables , Solvency II value"
139,"S.02.01.01.01,r0370,c0010",S.02.01.01.01,r0370,c0010,int64,"Assets|Reinsurance receivables , Solvency II value"
140,"S.02.01.01.01,r0380,c0010",S.02.01.01.01,r0380,c0010,int64,"Assets|Receivables (trade, not insurance) , Solvency II value"
141,"S.02.01.01.01,r0390,c0010",S.02.01.01.01,r0390,c0010,int64,"Assets|Own shares (held directly) , Solvency II value"
142,"S.02.01.01.01,r0400,c0010",S.02.01.01.01,r0400,c0010,int64,"Assets|Amounts due in respect of own fund items or initial fund called up but not yet paid in , Solvency II value"
143,"S.02.01.01.01,r0410,c0010",S.02.01.01.01,r0410,c0010,float64,"Assets|Cash and cash equivalents , Solvency II value"
144,"S.02.01.01.01,r0420,c0010",S.02.01.01.01,r0420,c0010,float64,"Assets|Any other assets, not elsewhere shown , Solvency II value"
145,"S.02.01.01.01,r0500,c0010",S.02.01.01.01,r0500,c0010,float64,"Assets|Total assets , Solvency II value"
146,"S.02.01.01.01,r0510,c0010",S.02.01.01.01,r0510,c0010,float64,"Liabilities|Technical provisions Ã¢ÂÂ non-life , Solvency II value"
147,"S.02.01.01.01,r0520,c0010",S.02.01.01.01,r0520,c0010,float64,"Liabilities|Technical provisions Ã¢ÂÂ non-life|Technical provisions Ã¢ÂÂ non-life (excluding health) , Solvency II value"
148,"S.02.01.01.01,r0530,c0010",S.02.01.01.01,r0530,c0010,int64,"Liabilities|Technical provisions Ã¢ÂÂ non-life|Technical provisions Ã¢ÂÂ non-life (excluding health)|Technical provisions calculated as a whole , Solvency II value"
149,"S.02.01.01.01,r0540,c0010",S.02.01.01.01,r0540,c0010,float64,"Liabilities|Technical provisions Ã¢ÂÂ non-life|Technical provisions Ã¢ÂÂ non-life (excluding health)|Best Estimate , Solvency II value"
150,"S.02.01.01.01,r0550,c0010",S.02.01.01.01,r0550,c0010,float64,"Liabilities|Technical provisions Ã¢ÂÂ non-life|Technical provisions Ã¢ÂÂ non-life (excluding health)|Risk margin , Solvency II value"
151,"S.02.01.01.01,r0560,c0010",S.02.01.01.01,r0560,c0010,float64,"Liabilities|Technical provisions Ã¢ÂÂ non-life|Technical provisions - health (similar to non-life) , Solvency II value"
152,"S.02.01.01.01,r0570,c0010",S.02.01.01.01,r0570,c0010,int64,"Liabilities|Technical provisions Ã¢ÂÂ non-life|Technical provisions - health (similar to non-life)|Technical provisions calculated as a whole , Solvency II value"
153,"S.02.01.01.01,r0580,c0010",S.02.01.01.01,r0580,c0010,float64,"Liabilities|Technical provisions Ã¢ÂÂ non-life|Technical provisions - health (similar to non-life)|Best Estimate , Solvency II value"
154,"S.02.01.01.01,r0590,c0010",S.02.01.01.01,r0590,c0010,float64,"Liabilities|Technical provisions Ã¢ÂÂ non-life|Technical provisions - health (similar to non-life)|Risk margin , Solvency II value"
155,"S.02.01.01.01,r0600,c0010",S.02.01.01.01,r0600,c0010,int64,"Liabilities|Technical provisions - life (excluding index-linked and unit-linked) , Solvency II value"
156,"S.02.01.01.01,r0610,c0010",S.02.01.01.01,r0610,c0010,int64,"Liabilities|Technical provisions - life (excluding index-linked and unit-linked)|Technical provisions - health (similar to life) , Solvency II value"
157,"S.02.01.01.01,r0620,c0010",S.02.01.01.01,r0620,c0010,int64,"Liabilities|Technical provisions - life (excluding index-linked and unit-linked)|Technical provisions - health (similar to life)|Technical provisions calculated as a whole , Solvency II value"
158,"S.02.01.01.01,r0630,c0010",S.02.01.01.01,r0630,c0010,int64,"Liabilities|Technical provisions - life (excluding index-linked and unit-linked)|Technical provisions - health (similar to life)|Best Estimate , Solvency II value"
159,"S.02.01.01.01,r0640,c0010",S.02.01.01.01,r0640,c0010,int64,"Liabilities|Technical provisions - life (excluding index-linked and unit-linked)|Technical provisions - health (similar to life)|Risk margin , Solvency II value"
160,"S.02.01.01.01,r0650,c0010",S.02.01.01.01,r0650,c0010,int64,"Liabilities|Technical provisions - life (excluding index-linked and unit-linked)|Technical provisions Ã¢ÂÂ life (excluding health and index-linked and unit-linked) , Solvency II value"
161,"S.02.01.01.01,r0660,c0010",S.02.01.01.01,r0660,c0010,int64,"Liabilities|Technical provisions - life (excluding index-linked and unit-linked)|Technical provisions Ã¢ÂÂ life (excluding health and index-linked and unit-linked)|Technical provisions calculated as a whole , Solvency II value"
162,"S.02.01.01.01,r0670,c0010",S.02.01.01.01,r0670,c0010,int64,"Liabilities|Technical provisions - life (excluding index-linked and unit-linked)|Technical provisions Ã¢ÂÂ life (excluding health and index-linked and unit-linked)|Best Estimate , Solvency II value"
163,"S.02.01.01.01,r0680,c0010",S.02.01.01.01,r0680,c0010,int64,"Liabilities|Technical provisions - life (excluding index-linked and unit-linked)|Technical provisions Ã¢ÂÂ life (excluding health and index-linked and unit-linked)|Risk margin , Solvency II value"
164,"S.02.01.01.01,r0690,c0010",S.02.01.01.01,r0690,c0010,int64,"Liabilities|Technical provisions Ã¢ÂÂ index-linked and unit-linked , Solvency II value"
165,"S.02.01.01.01,r0700,c0010",S.02.01.01.01,r0700,c0010,int64,"Liabilities|Technical provisions Ã¢ÂÂ index-linked and unit-linked|Technical provisions calculated as a whole , Solvency II value"
166,"S.02.01.01.01,r0710,c0010",S.02.01.01.01,r0710,c0010,int64,"Liabilities|Technical provisions Ã¢ÂÂ index-linked and unit-linked|Best Estimate , Solvency II value"
167,"S.02.01.01.01,r0720,c0010",S.02.01.01.01,r0720,c0010,int64,"Liabilities|Technical provisions Ã¢ÂÂ index-linked and unit-linked|Risk margin , Solvency II value"
168,"S.02.01.01.01,r0740,c0010",S.02.01.01.01,r0740,c0010,int64,"Liabilities|Contingent liabilities , Solvency II value"
169,"S.02.01.01.01,r0750,c0010",S.02.01.01.01,r0750,c0010,int64,"Liabilities|Provisions other than technical provisions , Solvency II value"
170,"S.02.01.01.01,r0760,c0010",S.02.01.01.01,r0760,c0010,int64,"Liabilities|Pension benefit obligations , Solvency II value"
171,"S.02.01.01.01,r0770,c0010",S.02.01.01.01,r0770,c0010,int64,"Liabilities|Deposits from reinsurers , Solvency II value"
172,"S.02.01.01.01,r0780,c0010",S.02.01.01.01,r0780,c0010,float64,"Liabilities|Deferred tax liabilities , Solvency II value"
173,"S.02.01.01.01,r0790,c0010",S.02.01.01.01,r0790,c0010,int64,"Liabilities|Derivatives , Solvency II value"
174,"S.02.01.01.01,r0800,c0010",S.02.01.01.01,r0800,c0010,int64,"Liabilities|Debts owed to credit institutions , Solvency II value"
175,"S.02.01.01.01,r0810,c0010",S.02.01.01.01,r0810,c0010,int64,"Liabilities|Financial liabilities other than debts owed to credit institutions , Solvency II value"
176,"S.02.01.01.01,r0820,c0010",S.02.01.01.01,r0820,c0010,float64,"Liabilities|Insurance & intermediaries payables , Solvency II value"
177,"S.02.01.01.01,r0830,c0010",S.02.01.01.01,r0830,c0010,float64,"Liabilities|Reinsurance payables , Solvency II value"
178,"S.02.01.01.01,r0840,c0010",S.02.01.01.01,r0840,c0010,float64,"Liabilities|Payables (trade, not insurance) , Solvency II value"
179,"S.02.01.01.01,r0850,c0010",S.02.01.01.01,r0850,c0010,int64,"Liabilities|Subordinated liabilities , Solvency II value"
180,"S.02.01.01.01,r0860,c0010",S.02.01.01.01,r0860,c0010,int64,"Liabilities|Subordinated liabilities|Subordinated liabilities not in Basic Own Funds , Solvency II value"
181,"S.02.01.01.01,r0870,c0010",S.02.01.01.01,r0870,c0010,int64,"Liabilities|Subordinated liabilities|Subordinated liabilities in Basic Own Funds , Solvency II value"
182,"S.02.01.01.01,r0880,c0010",S.02.01.01.01,r0880,c0010,float64,"Liabilities|Any other liabilities, not elsewhere shown , Solvency II value"
183,"S.02.01.01.01,r0900,c0010",S.02.01.01.01,r0900,c0010,float64,"Liabilities|Total liabilities , Solvency II value"
184,"S.02.01.01.01,r1000,c0010",S.02.01.01.01,r1000,c0010,float64,"Excess of assets over liabilities , Solvency II value"
185,"S.02.01.01.01,r0010,c0020",S.02.01.01.01,r0010,c0020,int64,"Assets|Goodwill , Statutory accounts value"
186,"S.02.01.01.01,r0020,c0020",S.02.01.01.01,r0020,c0020,int64,"Assets|Deferred acquisition costs , Statutory accounts value"
187,"S.02.01.01.01,r0030,c0020",S.02.01.01.01,r0030,c0020,float64,"Assets|Intangible assets , Statutory accounts value"
188,"S.02.01.01.01,r0040,c0020",S.02.01.01.01,r0040,c0020,int64,"Assets|Deferred tax assets , Statutory accounts value"
189,"S.02.01.01.01,r0050,c0020",S.02.01.01.01,r0050,c0020,int64,"Assets|Pension benefit surplus , Statutory accounts value"
190,"S.02.01.01.01,r0060,c0020",S.02.01.01.01,r0060,c0020,float64,"Assets|Property, plant & equipment held for own use , Statutory accounts value"
191,"S.02.01.01.01,r0070,c0020",S.02.01.01.01,r0070,c0020,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts) , Statutory accounts value"
192,"S.02.01.01.01,r0080,c0020",S.02.01.01.01,r0080,c0020,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Property (other than for own use) , Statutory accounts value"
193,"S.02.01.01.01,r0090,c0020",S.02.01.01.01,r0090,c0020,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Holdings in related undertakings, including participations , Statutory accounts value"
194,"S.02.01.01.01,r0100,c0020",S.02.01.01.01,r0100,c0020,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Equities , Statutory accounts value"
195,"S.02.01.01.01,r0110,c0020",S.02.01.01.01,r0110,c0020,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Equities|Equities - listed , Statutory accounts value"
196,"S.02.01.01.01,r0120,c0020",S.02.01.01.01,r0120,c0020,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Equities|Equities - unlisted , Statutory accounts value"
197,"S.02.01.01.01,r0130,c0020",S.02.01.01.01,r0130,c0020,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds , Statutory accounts value"
198,"S.02.01.01.01,r0140,c0020",S.02.01.01.01,r0140,c0020,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds|Government Bonds , Statutory accounts value"
199,"S.02.01.01.01,r0150,c0020",S.02.01.01.01,r0150,c0020,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds|Corporate Bonds , Statutory accounts value"
200,"S.02.01.01.01,r0160,c0020",S.02.01.01.01,r0160,c0020,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds|Structured notes , Statutory accounts value"
201,"S.02.01.01.01,r0170,c0020",S.02.01.01.01,r0170,c0020,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Bonds|Collateralised securities , Statutory accounts value"
202,"S.02.01.01.01,r0180,c0020",S.02.01.01.01,r0180,c0020,float64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Collective Investments Undertakings , Statutory accounts value"
203,"S.02.01.01.01,r0190,c0020",S.02.01.01.01,r0190,c0020,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Derivatives , Statutory accounts value"
204,"S.02.01.01.01,r0200,c0020",S.02.01.01.01,r0200,c0020,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Deposits other than cash equivalents , Statutory accounts value"
205,"S.02.01.01.01,r0210,c0020",S.02.01.01.01,r0210,c0020,int64,"Assets|Investments (other than assets held for index-linked and unit-linked contracts)|Other investments , Statutory accounts value"
206,"S.02.01.01.01,r0220,c0020",S.02.01.01.01,r0220,c0020,int64,"Assets|Assets held for index-linked and unit-linked contracts , Statutory accounts value"
207,"S.02.01.01.01,r0230,c0020",S.02.01.01.01,r0230,c0020,float64,"Assets|Loans and mortgages , Statutory accounts value"
208,"S.02.01.01.01,r0240,c0020",S.02.01.01.01,r0240,c0020,int64,"Assets|Loans and mortgages|Loans on policies , Statutory accounts value"
209,"S.02.01.01.01,r0250,c0020",S.02.01.01.01,r0250,c0020,int64,"Assets|Loans and mortgages|Loans and mortgages to individuals , Statutory accounts value"
210,"S.02.01.01.01,r0260,c0020",S.02.01.01.01,r0260,c0020,float64,"Assets|Loans and mortgages|Other loans and mortgages , Statutory accounts value"
211,"S.02.01.01.01,r0270,c0020",S.02.01.01.01,r0270,c0020,int64,"Assets|Reinsurance recoverables from: , Statutory accounts value"
